date,product_id,product_name,category,region,sales_qty,stock_qty,unit_price
2026-05-05,P008,?? ???? 80g,???,??,24,294,2200
2026-05-06,P001,?? ??? 2L,??,??,54,1243,800
2026-05-06,P002,??? 90g,??,??,36,811,1500
2026-05-06,P003,??? 5?,??,??,96,2032,3600
2026-05-06,P004,?? ???? 100?,??,??,32,548,15900
2026-05-06,P005,?? ?? 400ml,????,??,15,276,8900
2026-05-06,P006,2080 ?? 120g,????,??,20,427,3500
2026-05-06,P007,??? ???? 350g,????,??,52,959,5500
2026-05-06,P008,?? ???? 80g,???,??,32,270,2200
2026-05-07,P001,?? ??? 2L,??,??,49,1189,800
2026-05-07,P002,??? 90g,??,??,33,775,1500
2026-05-07,P003,??? 5?,??,??,89,1936,3600
2026-05-07,P004,?? ???? 100?,??,??,30,516,15900
2026-05-07,P005,?? ?? 400ml,????,??,13,261,8900
2026-05-07,P006,2080 ?? 120g,????,??,28,407,3500
2026-05-07,P007,??? ???? 350g,????,??,42,907,5500
2026-05-07,P008,?? ???? 80g,???,??,24,238,2200
2026-05-08,P001,?? ??? 2L,??,??,61,1140,800
2026-05-08,P002,??? 90g,??,??,46,742,1500
2026-05-08,P003,??? 5?,??,??,101,1847,3600
2026-05-08,P004,?? ???? 100?,??,??,32,486,15900
2026-05-08,P005,?? ?? 400ml,????,??,18,248,8900
2026-05-08,P006,2080 ?? 120g,????,??,18,379,3500
2026-05-08,P007,??? ???? 350g,????,??,38,865,5500
2026-05-08,P008,?? ???? 80g,???,??,27,214,2200
2026-05-09,P001,?? ??? 2L,??,??,62,1079,800
2026-05-09,P002,??? 90g,??,??,29,696,1500
2026-05-09,P003,??? 5?,??,??,95,1746,3600
2026-05-09,P004,?? ???? 100?,??,??,29,454,15900
2026-05-09,P005,?? ?? 400ml,????,??,13,230,8900
2026-05-09,P006,2080 ?? 120g,????,??,21,361,3500
2026-05-09,P007,??? ???? 350g,????,??,52,827,5500
2026-05-09,P008,?? ???? 80g,???,??,41,187,2200
2026-05-10,P001,?? ??? 2L,??,??,59,1017,800
2026-05-10,P002,??? 90g,??,??,34,667,1500
2026-05-10,P003,??? 5?,??,??,88,1651,3600
2026-05-10,P004,?? ???? 100?,??,??,23,425,15900
2026-05-10,P005,?? ?? 400ml,????,??,16,217,8900
2026-05-10,P006,2080 ?? 120g,????,??,16,340,3500
2026-05-10,P007,??? ???? 350g,????,??,47,775,5500
2026-05-10,P008,?? ???? 80g,???,??,33,146,2200
2026-05-11,P001,?? ??? 2L,??,??,49,958,800
2026-05-11,P002,??? 90g,??,??,36,633,1500
2026-05-11,P003,??? 5?,??,??,72,1563,3600
2026-05-11,P004,?? ???? 100?,??,??,22,402,15900
2026-05-11,P005,?? ?? 400ml,????,??,12,201,8900
2026-05-11,P006,2080 ?? 120g,????,??,20,324,3500
2026-05-11,P007,??? ???? 350g,????,??,56,728,5500
2026-05-11,P008,?? ???? 80g,???,??,29,113,2200
2026-05-12,P001,?? ??? 2L,??,??,57,909,800
2026-05-12,P002,??? 90g,??,??,39,597,1500
2026-05-12,P003,??? 5?,??,??,108,1491,3600
2026-05-12,P004,?? ???? 100?,??,??,32,380,15900
2026-05-12,P005,?? ?? 400ml,????,??,14,189,8900
2026-05-12,P006,2080 ?? 120g,????,??,14,304,3500
2026-05-12,P007,??? ???? 350g,????,??,54,672,5500
2026-05-12,P008,?? ???? 80g,???,??,31,84,2200
2026-05-13,P001,?? ??? 2L,??,??,64,852,800
2026-05-13,P002,??? 90g,??,??,37,558,1500
2026-05-13,P003,??? 5?,??,??,118,1383,3600
2026-05-13,P004,?? ???? 100?,??,??,26,348,15900
2026-05-13,P005,?? ?? 400ml,????,??,18,175,8900
2026-05-13,P006,2080 ?? 120g,????,??,19,290,3500
2026-05-13,P007,??? ???? 350g,????,??,44,618,5500
2026-05-13,P008,?? ???? 80g,???,??,24,53,2200
2026-05-14,P001,?? ??? 2L,??,??,53,788,800
2026-05-14,P002,??? 90g,??,??,46,521,1500
2026-05-14,P003,??? 5?,??,??,104,1265,3600
2026-05-14,P004,?? ???? 100?,??,??,31,322,15900
2026-05-14,P005,?? ?? 400ml,????,??,6,157,8900
2026-05-14,P006,2080 ?? 120g,????,??,21,271,3500
2026-05-14,P007,??? ???? 350g,????,??,51,574,5500
2026-05-14,P008,?? ???? 80g,???,??,27,29,2200
2026-05-15,P001,?? ??? 2L,??,??,49,735,800
2026-05-15,P002,??? 90g,??,??,37,475,1500
2026-05-15,P003,??? 5?,??,??,115,1161,3600
2026-05-15,P004,?? ???? 100?,??,??,22,291,15900
2026-05-15,P005,?? ?? 400ml,????,??,12,151,8900
2026-05-15,P006,2080 ?? 120g,????,??,24,250,3500
2026-05-15,P007,??? ???? 350g,????,??,44,523,5500
2026-05-15,P008,?? ???? 80g,???,??,28,2,2200
2026-05-16,P001,?? ??? 2L,??,??,55,686,800
2026-05-16,P002,??? 90g,??,??,30,438,1500
2026-05-16,P003,??? 5?,??,??,97,1046,3600
2026-05-16,P004,?? ???? 100?,??,??,21,269,15900
2026-05-16,P005,?? ?? 400ml,????,??,16,139,8900
2026-05-16,P006,2080 ?? 120g,????,??,19,226,3500
2026-05-16,P007,??? ???? 350g,????,??,63,479,5500
2026-05-16,P008,?? ???? 80g,???,??,31,0,2200
2026-05-17,P001,?? ??? 2L,??,??,65,631,800
2026-05-17,P002,??? 90g,??,??,30,408,1500
2026-05-17,P003,??? 5?,??,??,93,949,3600
2026-05-17,P004,?? ???? 100?,??,??,29,248,15900
2026-05-17,P005,?? ?? 400ml,????,??,19,123,8900
2026-05-17,P006,2080 ?? 120g,????,??,12,207,3500
2026-05-17,P007,??? ???? 350g,????,??,54,416,5500
2026-05-17,P008,?? ???? 80g,???,??,32,0,2200
2026-05-18,P001,?? ??? 2L,??,??,67,566,800
2026-05-18,P002,??? 90g,??,??,42,378,1500
2026-05-18,P003,??? 5?,??,??,95,856,3600
2026-05-18,P004,?? ???? 100?,??,??,25,219,15900
2026-05-18,P005,?? ?? 400ml,????,??,10,104,8900
2026-05-18,P006,2080 ?? 120g,????,??,19,195,3500
2026-05-18,P007,??? ???? 350g,????,??,46,362,5500
2026-05-18,P008,?? ???? 80g,???,??,40,0,2200
2026-05-19,P001,?? ??? 2L,??,??,50,499,800
2026-05-19,P002,??? 90g,??,??,39,336,1500
2026-05-19,P003,??? 5?,??,??,76,761,3600
2026-05-19,P004,?? ???? 100?,??,??,26,194,15900
2026-05-19,P005,?? ?? 400ml,????,??,14,94,8900
2026-05-19,P006,2080 ?? 120g,????,??,22,176,3500
2026-05-19,P007,??? ???? 350g,????,??,58,316,5500
2026-05-19,P008,?? ???? 80g,???,??,29,0,2200
2026-05-20,P001,?? ??? 2L,??,??,46,449,800
2026-05-20,P002,??? 90g,??,??,40,297,1500
2026-05-20,P003,??? 5?,??,??,12,685,3600
2026-05-20,P004,?? ???? 100?,??,??,30,168,15900
2026-05-20,P005,?? ?? 400ml,????,??,15,80,8900
2026-05-20,P006,2080 ?? 120g,????,??,16,154,3500
2026-05-20,P007,??? ???? 350g,????,??,55,258,5500
2026-05-20,P008,?? ???? 80g,???,??,30,0,2200
2026-05-21,P001,?? ??? 2L,??,??,60,403,800
2026-05-21,P002,??? 90g,??,??,45,257,1500
2026-05-21,P003,??? 5?,??,??,102,673,3600
2026-05-21,P004,?? ???? 100?,??,??,29,138,15900
2026-05-21,P005,?? ?? 400ml,????,??,20,65,8900
2026-05-21,P006,2080 ?? 120g,????,??,19,138,3500
2026-05-21,P007,??? ???? 350g,????,??,45,203,5500
2026-05-21,P008,?? ???? 80g,???,??,30,0,2200
2026-05-22,P001,?? ??? 2L,??,??,145,343,800
2026-05-22,P002,??? 90g,??,??,46,212,1500
2026-05-22,P003,??? 5?,??,??,96,571,3600
2026-05-22,P004,?? ???? 100?,??,??,30,109,15900
2026-05-22,P005,?? ?? 400ml,????,??,17,45,8900
2026-05-22,P006,2080 ?? 120g,????,??,16,119,3500
2026-05-22,P007,??? ???? 350g,????,??,35,158,5500
2026-05-22,P008,?? ???? 80g,???,??,31,0,2200
2026-05-23,P001,?? ??? 2L,??,??,56,198,800
2026-05-23,P002,??? 90g,??,??,34,166,1500
2026-05-23,P003,??? 5?,??,??,105,475,3600
2026-05-23,P004,?? ???? 100?,??,??,31,79,15900
2026-05-23,P005,?? ?? 400ml,????,??,11,28,8900
2026-05-23,P006,2080 ?? 120g,????,??,21,103,3500
2026-05-23,P007,??? ???? 350g,????,??,5,123,5500
2026-05-23,P008,?? ???? 80g,???,??,29,0,2200
2026-05-24,P001,?? ??? 2L,??,??,43,142,800
2026-05-24,P002,??? 90g,??,??,40,132,1500
2026-05-24,P003,??? 5?,??,??,94,370,3600
2026-05-24,P004,?? ???? 100?,??,??,24,48,15900
2026-05-24,P005,?? ?? 400ml,????,??,15,17,8900
2026-05-24,P006,2080 ?? 120g,????,??,20,82,3500
2026-05-24,P007,??? ???? 350g,????,??,43,118,5500
2026-05-24,P008,?? ???? 80g,???,??,32,0,2200
2026-05-25,P001,?? ??? 2L,??,??,63,99,800
2026-05-25,P002,??? 90g,??,??,130,92,1500
2026-05-25,P003,??? 5?,??,??,86,276,3600
2026-05-25,P004,?? ???? 100?,??,??,29,24,15900
2026-05-25,P005,?? ?? 400ml,????,??,14,2,8900
2026-05-25,P006,2080 ?? 120g,????,??,28,62,3500
2026-05-25,P007,??? ???? 350g,????,??,34,75,5500
2026-05-25,P008,?? ???? 80g,???,??,33,0,2200
2026-05-26,P001,?? ??? 2L,??,??,52,36,800
2026-05-26,P002,??? 90g,??,??,37,0,1500
2026-05-26,P003,??? 5?,??,??,117,190,3600
2026-05-26,P004,?? ???? 100?,??,??,27,0,15900
2026-05-26,P005,?? ?? 400ml,????,??,20,0,8900
2026-05-26,P006,2080 ?? 120g,????,??,17,34,3500
2026-05-26,P007,??? ???? 350g,????,??,50,41,5500
2026-05-26,P008,?? ???? 80g,???,??,27,0,2200
2026-05-27,P001,?? ??? 2L,??,??,49,0,800
2026-05-27,P002,??? 90g,??,??,38,0,1500
2026-05-27,P003,??? 5?,??,??,91,73,3600
2026-05-27,P004,?? ???? 100?,??,??,29,0,15900
2026-05-27,P005,?? ?? 400ml,????,??,7,8,8900
2026-05-27,P006,2080 ?? 120g,????,??,0,17,3500
2026-05-27,P007,??? ???? 350g,????,??,46,0,5500
2026-05-27,P008,?? ???? 80g,???,??,38,0,2200
